수거함 위치명,주소,전화번호,Latitude,Longitude
신암1동 행정복지센터,대구 동구 아양로7길 27(신암동),053-662-3604,35.8842727,128.6163103
신암2동 행정복지센터,대구 동구 신성로 56(신암동),053-662-3635,35.879941,128.6126548
신암3동 행정복지센터,대구 동구 신암남로 67(신암동),053-662-3642,35.8795035,128.6231347
신암4동 행정복지센터,대구 동구 신암남로23길 53(신암동),053-662-3662,35.8850253,128.6292827
신암5동 행정복지센터,대구 동구 아양로37길 92(신암동),053-662-3691,35.8897757,128.6329188
신천1·2동 행정복지센터,대구 동구 국채보상로159길 41(신천동),053-662-3706,35.8704334,128.615074
신천3동 행정복지센터,대구 동구 장등로 90(신천동),053-662-3725,35.875363,128.6236485
신천4동 행정복지센터,대구 동구 동부로30길 61-7(신천동),053-662-3742,35.8717035,128.6293475
효목1동 행정복지센터,대구 동구 화랑로41길 46(효목동),053-662-3766,35.8823203,128.6375047
효목2동 행정복지센터,대구 동구 화랑로25길 45(효목동),053-662-3782,35.8828176,128.6362097
도평동 행정복지센터,대구 동구 팔공로24길 171(도동),053-662-3804,35.9120128,128.6509861
불로봉무동 행정복지센터,대구 동구 팔공로25길 16(불로동),053-662-3827,35.9149822,128.6428482
지저동 행정복지센터,대구 동구 해동로3길 80(지저동),053-662-3845,35.8934469,128.6382095
동촌동 행정복지센터,대구 동구 동촌로11길 5(입석동),053-662-3862,35.8899751,128.6495657
방촌동 행정복지센터,대구 동구 동촌로48길 26(방촌동),053-662-3883,35.8956843,128.6767465
해안동 행정복지센터,대구 동구 방촌로29길 46(방촌동),053-662-3905,35.8822902,128.671527
안심1동 행정복지센터,대구 동구 율하동로25길 5(신기동),053-662-3925,35.8706033,128.7015745
안심2동 행정복지센터,대구 동구 반야월로1길 28(용계동),053-662-3943,35.8755796,128.6870728
안심3동 행정복지센터,"대구 동구 안심로 368, 2층(신서동)",053-662-3564,35.8680909,128.724646
안심4동 행정복지센터,대구 동구 안심로49길 98(서호동),053-662-3964,35.868258,128.7094189
혁신동 행정복지센터,"대구 동구 이노밸리로26길 8, 1층(각산동)",053-662-4362,35.8782908,128.7115044
공산동 행정복지센터,대구 동구 팔공로91길 9(지묘동),053-662-3983,35.9519083,128.657931
성당동행정복지센터,대구광역시 달서구 야외음악당로 38,053-667-4015,35.8406159,128.5531353
두류1·2동행정복지센터,대구광역시 달서구 두류길 141-8,053-667-4062,35.8578475,128.5671869
두류3동행정복지센터,대구광역시 달서구 야외음악당로39길 24,053-667-4114,35.8537336,128.5553966
본리동행정복지센터,대구광역시 달서구 당산로 37-14,053-667-4144,35.8409724,128.5432185
감삼동행정복지센터,대구광역시 달서구 당산로 176,053-667-4183,35.849951,128.5502713
죽전동행정복지센터,대구광역시 달서구 죽전1길 176,053-667-4217,35.8573227,128.5388991
장기동행정복지센터,대구광역시 달서구 장기로 277,053-667-4247,35.8432804,128.529941
용산1동행정복지센터,대구광역시 달서구 용산로 212-7,053-667-4272,35.856588,128.5311531
용산2동행정복지센터,대구광역시 달서구 선원로 278,053-667-4304,35.8584136,128.5229169
이곡1동행정복지센터,대구광역시 달서구 달구벌대로 1309,053-667-4325,35.8515183,128.5105961
이곡2동행정복지센터,대구광역시 달서구 계대동문로 77,053-667-4355,35.855587,128.5007574
신당동행정복지센터,대구광역시 달서구 선원로 60,053-667-4384,35.8587524,128.4987807
월성1동행정복지센터,대구광역시 달서구 조암남로 97,053-667-4412,35.8194196,128.5229363
월성2동행정복지센터,대구광역시 달서구 월성로 65,053-667-4464,35.830955,128.5283975
진천동행정복지센터,대구광역시 달서구 진천로9길 33,053-667-4472,35.8121746,128.5229967
유천동행정복지센터,대구광역시 달서구 조암로 175,053-667-4094,35.8170756,128.5141512
상인1동행정복지센터,대구광역시 달서구 상인서로 40,053-667-4604,35.8142302,128.5451082
상인2동행정복지센터,대구광역시 달서구 상원로 27,053-667-4632,35.8124641,128.536335
상인3동행정복지센터,대구광역시 달서구 월곡로26안길 3,053-667-4669,35.8088605,128.5509209
도원동행정복지센터,대구광역시 달서구 한실로 53,053-667-4692,35.8074674,128.5323803
송현1동행정복지센터,대구광역시 달서구 중흥로8길 41,053-667-4737,35.8292615,128.5548115
송현2동행정복지센터,대구광역시 달서구 월배로83길 120-14,053-667-4755,35.8327133,128.5456211
본동행정복지센터,대구광역시 달서구 구마로26길 62,053-667-4782,35.8344259,128.5411162
남구보건소,대구광역시 남구 영선길 34(대명동),053-664-3642,35.8539233,128.5915241
이천동행정복지센터,대구광역시 남구 이천로28길 18(이천동),053-664-3712,35.8536814,128.5994508
봉덕1동행정복지센터,대구광역시 남구 봉덕로 51-2(봉덕동),053-664-3732,35.8452426,128.5964213
봉덕2동행정복지센터,대구광역시 남구 이천로10길 50(봉덕동),053-664-3752,35.843855,128.6011101
봉덕3동행정복지센터,대구광역시 남구 중앙대로22길 100(봉덕동),053-664-3772,35.8424277,128.5959261
대명1동행정복지센터,대구광역시 남구 두류공원로 38(대명동),053-664-3792,35.841661,128.5735533
대명2동행정복지센터,대구광역시 남구 명덕로32길 30(대명동),053-664-3812,35.8551955,128.5865096
대명3동행정복지센터,대구광역시 남구 명덕로20길 115(대명동),053-664-3839,35.8522924,128.5792372
대명4동행정복지센터,대구광역시 남구 두류공원로20길 19(대명동),053-664-3853,35.8460094,128.5695338
대명5동행정복지센터,대구광역시 남구 대명로58길 11(대명동),053-664-3879,35.8432386,128.5878572
대명6동행정복지센터,대구광역시 남구 대명남로 73(대명동),053-664-3892,35.8351105,128.5660873
대명9동행정복지센터,대구광역시 남구 큰골길 53(대명동),053-664-3912,35.8372858,128.579314
대명10동행정복지센터,대구광역시 남구 대명복개로4길 166(대멍동),053-664-3939,35.8400354,128.5689458
대명11동행정복지센터,대구광역시 남구 관문시장4길 53(대명동),053-664-3952,35.8362445,128.5606265
즐거운약국,대구광역시 남구 성당로 182-1 (대명동),053-219-7594,35.8496903,128.5717053
미소온누리약국,"대구광역시 남구 성당로 222, 1층 (대명동)",053-622-0110,35.8527502,128.574069
정문약국,"대구광역시 남구 성당로 170-2, 1층 (대명동)",053-657-5110,35.8489807,128.5705229
백세약국,대구광역시 남구 성당로 204 (대명동),053-651-1130,35.850775,128.5736699
메디칼하나약국,대구광역시 남구 성당로 166 (대명동),053-656-2092,35.8487429,128.5701445
미래약국,"대구광역시 남구 성당로 152-1, 1층 (대명동)",053-625-6868,35.848092,128.5692591
은행약국,대구광역시 남구 성당로 206 (대명동),053-622-4500,35.850933,128.5737122
새건강약국,대구광역시 남구 성당로 200-1 (대명동),053-621-0311,35.8507568,128.573438
대명동산약국,대구광역시 남구 명덕로 70 (대명동),053-654-8275,35.8580944,128.578267
우리약국,대구광역시 남구 성당로 200-2 (대명동),053-654-6234,35.8506576,128.5732758
주경약국,대구광역시 남구 대명로 27-1 (대명동),053-621-2632,35.8385587,128.5604626
유일약국,대구광역시 남구 양지로 20-4 (대명동),053-621-3577,35.8509168,128.5747758
달성약국,"대구광역시 남구 양지로 12, 1층 (대명동)",053-621-0800,35.8508512,128.5743501
참열린약국,"대구광역시 남구 두류공원로17길 28, 1층 (대명동)",053-628-7359,35.8442247,128.5687149
성모약국,"대구광역시 남구 두류공원로17길 39, 101호 (대명동, 금오맨션)",053-312-0036,35.8443274,128.5678375
평화약국,"대구광역시 남구 두류공원로17길 32, 1,2층 (대명동)",053-625-6660,35.8442709,128.5685447
대학천사약국,"대구광역시 남구 두류공원로19길 31, 2층 (대명동)",053-656-8878,35.8441254,128.567224
세계로약국,"대구광역시 남구 두류공원로17길 40, 1층 (대명동)",053-652-1122,35.8445865,128.5682559
대진약국,대구광역시 남구 두류공원로17길 38 (대명동),053-623-1993,35.8444299,128.5684011
온누리동일약국,대구광역시 남구 두류공원로17길 16 (대명동),053-625-2828,35.8439871,128.5688725
온누리대학약국,대구광역시 남구 두류공원로17길 16 (대명동),053-655-1600,35.8439871,128.5688725
수정약국,대구광역시 남구 두류공원로17길 36 (대명동),053-624-9456,35.8443739,128.5685177
마리아약국,대구광역시 남구 두류공원로19길 8-1 (대명동),053-622-1486,35.8446498,128.5683563
대명드림약국,"대구광역시 남구 대명로 86, 1층(대명동)",,35.8390392,128.5669885
초이스약국,"대구광역시 남구 대명로 6, 1층 (대명동)",053-627-0077,35.8373757,128.5582348
대명약국,"대구광역시 남구 대명로 66, 1층 107호 (대명동)",053-622-2301,35.8389048,128.5648986
미소약국,"대구광역시 남구 월배로 468, 한영유니죤빌딩 105호 (대명동)",053-657-2089,35.8346386,128.5559905
햇살약국,"대구광역시 남구 대명로 65, 세아타워 1층 (대명동)",053-622-2255,35.8396216,128.5646635
백일온누리약국,"대구광역시 남구 대명로 12, 1층 (대명동)",053-655-0109,35.8375739,128.5588638
한빛약국,"대구광역시 남구 월배로 468, 한영유니죤빌딩 1층 104호 (대명동)",053-657-2269,35.8346386,128.5559905
관문약국,"대구광역시 남구 대명서로 165, A동 104호 (대명동, 관문빌딩)",053-651-5689,35.83475,128.5565184
